ARGUMENT,TYPE 
"Prosecution case is that on 04/12/2018 at about 10­30 p.m.,complainant­Haridas Surywanshi had gone for answering nature call, at that time, applicant/accused and other co­accused threatened to complainant, and forcefully took mobile phone and cash amount of complainant, and also caused injuries to his leg by sickle and thereafter fled away.",PREMISE
Learned counsel for the applicant/accused submitted that applicant/accused has not committed any offence and he has been falsely implicated in this offence.,PREMISE
He further submitted that there is no under section 394 of IPC.,PREMISE
"He further submitted that practically investigation is in respect of present applicant/accused is completed, therefore, he be released on bail.",PREMISE
"On the other hand, learned APP submitted that in identification parade, complainant identified to the present applicant/accused.",PREMISE
"He further submitted that the accused are absconding, therefore, if applicant/accused is released on bail, he will pressurize to the complainant and witnesses, therefore, application be rejected.",CONCLUSION
"On perusing police papers, prima facie, it reveals that on 2 05//12/2018 at about 07­40 a.ma., complainant lodged report at Dighi Police Station, alleging in that on 04/12/2018 at about 10­30 p.m., he had gone for answering nature call, at that time, four persons came by four wheeler, threatened and beat him by sharp weapon, spread chilly powder in his eyes, looted Rs.85000/­ and his mobile phone , and fled away.",PREMISE
"Moreover, it seems that police have arrested present accused on 05/12/2018.",PREMISE
Now he is in custody.,PREMISE
"Moreover, it reveals that in the identification parade, complainant has identified the present applicant/accused.",PREMISE
"Moreover, it reveals that custodial interrogation of present applicant/accused is now not necessary.",PREMISE
"Moreover, in police papers, there is no any criminal antecedent against present application /accused.",PREMISE
"Therefore, considering all these aspects, in my view if present applicant­accused is released on bail on certain conditions, no prejudice will be caused to the prosecution.",CONCLUSION
"Hence, I pass the following order.",CONCLUSION
[2] Perused the application and say given by the respondent at Exh.3.,PREMISE
[3] Heard learned advocate Mr. D'Lima for the applicant / accused and APP Mr. Aurangabadkar for the respondent.,PREMISE
"[4] By taking me through the FIR, advocate Mr. D'Lima argued that accused / applicant is falsely implicated in the present crime.",PREMISE
There is nothing on record to show that accused / applicant had abetted deceased Pawan for committing suicide.,PREMISE
The loan was taken by the father of the deceased and accused was demanding back the loan money from the father of the deceased.,PREMISE
The vehicle which alleged to have been taken forcefully by the accused / applicant was owned by the brother of the deceased.,PREMISE
"Therefore, deceased had no connection with the said incident.",CONCLUSION
The alleged overtact of the accused / applicant are only suggesting that she was interested in getting her money back.,PREMISE
"He further submitted that the accused / applicant is law abiding citizen, a female and has no criminal antecedents and is ready to abide any condition.",PREMISE
He prayed for the bail.,CONCLUSION
[5] The learned APP for respondent argued that the offence in question is serious in nature.,PREMISE
The investigation is in progress.,PREMISE
There is suicide note in which blame is given to the accused / applicant.,PREMISE
"If the accused / applicant is released on bail, the chances of tampering with the prosecution evidence cannot be ruled out.",PREMISE
He prayed for rejection of the bail application.,CONCLUSION
[6] I have gone through the FIR produced for perusal by applicant as well as by the learned APP and also the alleged suicide note.,PREMISE
"From the FIR, it is clear that there was some loan transaction between accused / applicant and the informant and they had purchased one pick up vehicle which was ultimately seized by the finance company for non payment of installments and on 20­12­ 2018, applicant and her husband alleged to have visited the house of the informant demanding amount of loan and applicant / accused had threatened the informant that she would commit suicide.",PREMISE
It is alleged that applicant had forcefully taken the motorcycle of another son of informant.,PREMISE
"Having regard to the allegations made against the accused / applicant, prima­facie there is no material to suggest that accused / applicant had any intention to drive deceased Pawan to commit suicide.",PREMISE
"In suicide note, it is only mentioned that because of applicant, deceased committed suicide, but no further details are given.",PREMISE
"Having regard to the allegations made against the accused / applicant in the FIR and the transaction between the informant and the accused / applicant, I find that no further purpose will be served by keeping accused / applicant in jail.",CONCLUSION
"Hence, the following order.",CONCLUSION
It is alleged that victim aged about 17 years lodged report stating that she was acquainted with applicant as he used to come at her sister's house which was near house of victim.,PREMISE
They were meeting each other and talking with each other.,PREMISE
There was love affair between them .,PREMISE
Prior to one year applicant proposed victim for marriage and by inducement of marriage since July­2018 till September­2018 he committed forcible sexual intercourse with her repeatedly as a result of which she became pregnant.,PREMISE
3] According to applicant he is falsely implicated in this matter.,PREMISE
It is a case of love affair.,PREMISE
"She is 17 years old therefore, she knows the consequences of the act.",PREMISE
There was no force from the applicant.,PREMISE
Applicant is 23 years old and doing studies for Police Constable Recruitment Examination.,PREMISE
"He is permanently residing at Wagholi, Pune.",PREMISE
He has no criminal antecedents.,PREMISE
He is ready to abide the conditions.,PREMISE
"Hence, he prayed to release him on bail.",CONCLUSION
4] APP and I.O. objected this application on the ground that investigation is in progress.,PREMISE
Applicant will pressurize victim and witnesses.,PREMISE
There is possibility of tampering prosecution evidence.,PREMISE
There is possibility of the absconding of applicant.,PREMISE
"So, they prayed to reject the application.",CONCLUSION
5] Allegations against the applicant are serious.,PREMISE
Applicant is sufficiently interrogated.,PREMISE
From statement of victim role attributed to applicant can be gathered.,PREMISE
It revealed that due to love affair victim and applicant were meeting each other.,PREMISE
Applicant proposed victim and according to her he kept sexual relationship with her since July­2018 till September­ 2018 under pretext of marriage as a result of which she became pregnant.,PREMISE
Victim is 17 years old and applicant is 20 years old.,PREMISE
Victim has attended age of sufficient maturity and knows the consequences of act.,PREMISE
